tower/conv0 null 1 32,149,149,32 Conv
tower/conv1 0 2 32,147,147,32 Conv
tower/conv2 1 3 32,147,147,64 Conv
tower/pool1 2 4 32,73,73,64 Pool
tower/conv3 3 5 32,73,73,80 Conv
tower/conv4 4 6 32,71,71,192 Conv
tower/pool2 5 7,8,10,13 32,35,35,192 Pool
tower/mixed_35x35x256a/branch1x1/Conv 6 15 32,35,35,64 Conv
tower/mixed_35x35x256a/branch5x5/Conv 6 9 32,35,35,48 Conv
tower/mixed_35x35x256a/branch5x5/Conv_1 8 15 32,35,35,64 Conv
tower/mixed_35x35x256a/branch3x3dbl/Conv 6 11 32,35,35,64 Conv
tower/mixed_35x35x256a/branch3x3dbl/Conv_1 10 12 32,35,35,96 Conv
tower/mixed_35x35x256a/branch3x3dbl/Conv_2 11 15 32,35,35,96 Conv
tower/mixed_35x35x256a/branch_pool/AvgPool 6 14 32,35,35,192 AvgPool
tower/mixed_35x35x256a/branch_pool/Conv 13 15 32,35,35,32 Conv
tower/mixed_35x35x256a/concat 7,9,12,14 16,17,19,22 32,35,35,256 Concat
tower/mixed_35x35x288a/branch1x1/Conv 15 24 32,35,35,64 Conv
tower/mixed_35x35x288a/branch5x5/Conv 15 18 32,35,35,48 Conv
tower/mixed_35x35x288a/branch5x5/Conv_1 17 24 32,35,35,64 Conv
tower/mixed_35x35x288a/branch3x3dbl/Conv 15 20 32,35,35,64 Conv
tower/mixed_35x35x288a/branch3x3dbl/Conv_1 19 21 32,35,35,96 Conv
tower/mixed_35x35x288a/branch3x3dbl/Conv_2 20 24 32,35,35,96 Conv
tower/mixed_35x35x288a/branch_pool/AvgPool 15 23 32,35,35,256 AvgPool
tower/mixed_35x35x288a/branch_pool/Conv 22 24 32,35,35,64 Conv
tower/mixed_35x35x288a/concat 16,18,21,23 25,26,28,31 32,35,35,288 Concat
tower/mixed_35x35x288b/branch1x1/Conv 24 33 32,35,35,64 Conv
tower/mixed_35x35x288b/branch5x5/Conv 24 27 32,35,35,48 Conv
tower/mixed_35x35x288b/branch5x5/Conv_1 26 33 32,35,35,64 Conv
tower/mixed_35x35x288b/branch3x3dbl/Conv 24 29 32,35,35,64 Conv
tower/mixed_35x35x288b/branch3x3dbl/Conv_1 28 30 32,35,35,96 Conv
tower/mixed_35x35x288b/branch3x3dbl/Conv_2 29 33 32,35,35,96 Conv
tower/mixed_35x35x288b/branch_pool/AvgPool 24 32 32,35,35,288 AvgPool
tower/mixed_35x35x288b/branch_pool/Conv 31 33 32,35,35,64 Conv
tower/mixed_35x35x288b/concat 25,27,30,32 34,35,38 32,35,35,288 Concat
tower/mixed_17x17x768a/branch3x3/Conv 33 39 32,17,17,384 Conv
tower/mixed_17x17x768a/branch3x3dbl/Conv 33 36 32,35,35,64 Conv
tower/mixed_17x17x768a/branch3x3dbl/Conv_1 35 37 32,35,35,96 Conv
tower/mixed_17x17x768a/branch3x3dbl/Conv_2 36 39 32,17,17,96 Conv
tower/mixed_17x17x768a/branch_pool/MaxPool 33 39 32,17,17,288 MaxPool
tower/mixed_17x17x768a/concat 34,37,38 40,41,44,49 32,17,17,768 Concat
tower/mixed_17x17x768b/branch1x1/Conv 39 51 32,17,17,192 Conv
tower/mixed_17x17x768b/branch7x7/Conv 39 42 32,17,17,128 Conv
tower/mixed_17x17x768b/branch7x7/Conv_1 41 43 32,17,17,128 Conv
tower/mixed_17x17x768b/branch7x7/Conv_2 42 51 32,17,17,192 Conv
tower/mixed_17x17x768b/branch7x7dbl/Conv 39 45 32,17,17,128 Conv
tower/mixed_17x17x768b/branch7x7dbl/Conv_1 44 46 32,17,17,128 Conv
tower/mixed_17x17x768b/branch7x7dbl/Conv_2 45 47 32,17,17,128 Conv
tower/mixed_17x17x768b/branch7x7dbl/Conv_3 46 48 32,17,17,128 Conv
tower/mixed_17x17x768b/branch7x7dbl/Conv_4 47 51 32,17,17,192 Conv
tower/mixed_17x17x768b/branch_pool/AvgPool 39 50 32,17,17,768 AvgPool
tower/mixed_17x17x768b/branch_pool/Conv 49 51 32,17,17,192 Conv
tower/mixed_17x17x768b/concat 40,43,48,50 52,53,56,61 32,17,17,768 Concat
tower/mixed_17x17x768c/branch1x1/Conv 51 63 32,17,17,192 Conv
tower/mixed_17x17x768c/branch7x7/Conv 51 54 32,17,17,160 Conv
tower/mixed_17x17x768c/branch7x7/Conv_1 53 55 32,17,17,160 Conv
tower/mixed_17x17x768c/branch7x7/Conv_2 54 63 32,17,17,192 Conv
tower/mixed_17x17x768c/branch7x7dbl/Conv 51 57 32,17,17,160 Conv
tower/mixed_17x17x768c/branch7x7dbl/Conv_1 56 58 32,17,17,160 Conv
tower/mixed_17x17x768c/branch7x7dbl/Conv_2 57 59 32,17,17,160 Conv
tower/mixed_17x17x768c/branch7x7dbl/Conv_3 58 60 32,17,17,160 Conv
tower/mixed_17x17x768c/branch7x7dbl/Conv_4 59 63 32,17,17,192 Conv
tower/mixed_17x17x768c/branch_pool/AvgPool 51 62 32,17,17,768 AvgPool
tower/mixed_17x17x768c/branch_pool/Conv 61 63 32,17,17,192 Conv
tower/mixed_17x17x768c/concat 52,55,60,62 64,65,68,73 32,17,17,768 Concat
tower/mixed_17x17x768d/branch1x1/Conv 63 75 32,17,17,192 Conv
tower/mixed_17x17x768d/branch7x7/Conv 63 66 32,17,17,160 Conv
tower/mixed_17x17x768d/branch7x7/Conv_1 65 67 32,17,17,160 Conv
tower/mixed_17x17x768d/branch7x7/Conv_2 66 75 32,17,17,192 Conv
tower/mixed_17x17x768d/branch7x7dbl/Conv 63 69 32,17,17,160 Conv
tower/mixed_17x17x768d/branch7x7dbl/Conv_1 68 70 32,17,17,160 Conv
tower/mixed_17x17x768d/branch7x7dbl/Conv_2 69 71 32,17,17,160 Conv
tower/mixed_17x17x768d/branch7x7dbl/Conv_3 70 72 32,17,17,160 Conv
tower/mixed_17x17x768d/branch7x7dbl/Conv_4 71 75 32,17,17,192 Conv
tower/mixed_17x17x768d/branch_pool/AvgPool 63 74 32,17,17,768 AvgPool
tower/mixed_17x17x768d/branch_pool/Conv 73 75 32,17,17,192 Conv
tower/mixed_17x17x768d/concat 64,67,72,74 76,77,80,85 32,17,17,768 Concat
tower/mixed_17x17x768e/branch1x1/Conv 75 87 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7/Conv 75 78 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7/Conv_1 77 79 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7/Conv_2 78 87 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7dbl/Conv 75 81 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7dbl/Conv_1 80 82 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7dbl/Conv_2 81 83 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7dbl/Conv_3 82 84 32,17,17,192 Conv
tower/mixed_17x17x768e/branch7x7dbl/Conv_4 83 87 32,17,17,192 Conv
tower/mixed_17x17x768e/branch_pool/AvgPool 75 86 32,17,17,768 AvgPool
tower/mixed_17x17x768e/branch_pool/Conv 85 87 32,17,17,192 Conv
tower/mixed_17x17x768e/concat 76,79,84,86 88,90,94,122 32,17,17,768 Concat
tower/mixed_17x17x1280a/branch3x3/Conv 87 89 32,17,17,192 Conv
tower/mixed_17x17x1280a/branch3x3/Conv_1 88 95 32,8,8,320 Conv
tower/mixed_17x17x1280a/branch7x7x3/Conv 87 91 32,17,17,192 Conv
tower/mixed_17x17x1280a/branch7x7x3/Conv_1 90 92 32,17,17,192 Conv
tower/mixed_17x17x1280a/branch7x7x3/Conv_2 91 93 32,17,17,192 Conv
tower/mixed_17x17x1280a/branch7x7x3/Conv_3 92 95 32,8,8,192 Conv
tower/mixed_17x17x1280a/branch_pool/MaxPool 87 95 32,8,8,768 MaxPool
tower/mixed_17x17x1280a/concat 89,93,94 96,97,101,106 32,8,8,1280 Concat
tower/mixed_8x8x2048a/branch1x1/Conv 95 108 32,8,8,320 Conv
tower/mixed_8x8x2048a/branch3x3/Conv 95 98,99 32,8,8,384 Conv
tower/mixed_8x8x2048a/branch3x3/Conv_1 97 100 32,8,8,384 Conv
tower/mixed_8x8x2048a/branch3x3/Conv_2 97 100 32,8,8,384 Conv
tower/mixed_8x8x2048a/branch3x3/concat 98,99 108 32,8,8,768 Concat
tower/mixed_8x8x2048a/branch3x3dbl/Conv 95 102 32,8,8,448 Conv
tower/mixed_8x8x2048a/branch3x3dbl/Conv_1 101 103,104 32,8,8,384 Conv
tower/mixed_8x8x2048a/branch3x3dbl/Conv_2 102 105 32,8,8,384 Conv
tower/mixed_8x8x2048a/branch3x3dbl/Conv_3 102 105 32,8,8,384 Conv
tower/mixed_8x8x2048a/branch3x3dbl/concat 103,104 108 32,8,8,768 Concat
tower/mixed_8x8x2048a/branch_pool/AvgPool 95 107 32,8,8,1280 AvgPool
tower/mixed_8x8x2048a/branch_pool/Conv 106 108 32,8,8,192 Conv
tower/mixed_8x8x2048a/concat 96,100,105,107 null 32,8,8,2048 Concat
conv0/BatchNorm/beta null 0 32,0,0,0 beta
conv0/BatchNorm/moving_mean null 0 32,0,0,0 moving_mean
conv0/BatchNorm/moving_variance null 0 32,0,0,0 moving_variance
conv0/weights null 0 3,3,3,32 weights
conv1/BatchNorm/beta null 1 32,0,0,0 beta
conv1/BatchNorm/moving_mean null 1 32,0,0,0 moving_mean
conv1/BatchNorm/moving_variance null 1 32,0,0,0 moving_variance
conv1/weights null 1 3,3,32,32 weights
conv2/BatchNorm/beta null 2 64,0,0,0 beta
conv2/BatchNorm/moving_mean null 2 64,0,0,0 moving_mean
conv2/BatchNorm/moving_variance null 2 64,0,0,0 moving_variance
conv2/weights null 2 3,3,32,64 weights
conv3/BatchNorm/beta null 4 80,0,0,0 beta
conv3/BatchNorm/moving_mean null 4 80,0,0,0 moving_mean
conv3/BatchNorm/moving_variance null 4 80,0,0,0 moving_variance
conv3/weights null 4 1,1,64,80 weights
conv4/BatchNorm/beta null 5 192,0,0,0 beta
conv4/BatchNorm/moving_mean null 5 192,0,0,0 moving_mean
conv4/BatchNorm/moving_variance null 5 192,0,0,0 moving_variance
conv4/weights null 5 3,3,80,192 weights
mixed_35x35x256a/branch1x1/Conv/BatchNorm/beta null 7 64,0,0,0 beta
mixed_35x35x256a/branch1x1/Conv/BatchNorm/moving_mean null 7 64,0,0,0 moving_mean
mixed_35x35x256a/branch1x1/Conv/BatchNorm/moving_variance null 7 64,0,0,0 moving_variance
mixed_35x35x256a/branch1x1/Conv/weights null 7 1,1,192,64 weights
mixed_35x35x256a/branch5x5/Conv/BatchNorm/beta null 8 48,0,0,0 beta
mixed_35x35x256a/branch5x5/Conv/BatchNorm/moving_mean null 8 48,0,0,0 moving_mean
mixed_35x35x256a/branch5x5/Conv/BatchNorm/moving_variance null 8 48,0,0,0 moving_variance
mixed_35x35x256a/branch5x5/Conv/weights null 8 1,1,192,48 weights
